polish_name;english_name;latin_name;order;family;image
Alka;Razorbill;Alca torda;Charadriiformes;Alcidae;https://upload.wikimedia.org/wikipedia/commons/0/02/Razorbill_iceland.JPG
Batalion;Ruff;Calidris pugnax;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/4/49/Kampfl%C3%A4ufer_Gefieder_putzend.jpg
Bażant;Ring-necked pheasant;Phasianus colchicus;Galliformes;Phasianidae;https://upload.wikimedia.org/wikipedia/commons/d/d7/Phasianus_colchicus_2_tom_%28Lukasz_Lukasik%29.jpg
Bączek;Little bittern;Ixobrychus minutus;Pelecaniformes;Ardeidae;https://upload.wikimedia.org/wikipedia/commons/5/59/Ixobrychus_minutus_3_%28Marek_Szczepanek%29.jpg
Bąk;Great bittern;Botaurus stellaris;Pelecaniformes;Ardeidae;https://upload.wikimedia.org/wikipedia/commons/0/02/Botaurus_stellaris_%28Marek_Szczepanek%29.jpg
Bekasik;Jack snipe;Lymnocryptes minimus;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/6/61/Lymnocryptes_minimus_%28Marek_Szczepanek%29.jpg
Bernikla białolica;Barnacle goose;Branta leucopsis;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/b/be/Weisswangengans-01.jpg
Bernikla kanadyjska;Canada goose;Branta canadensis;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/b/bd/Wild_goose.jpg
Bernikla obrożna;Brant;Branta bernicla;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/7/75/Branta_bernicla_bernicla_-_Brent_Goose.jpg
Bernikla rdzawoszyja;Red-breasted goose;Branta ruficollis;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/f/f4/Branta_ruficollis_001.jpg
Białorzytka;Northern wheatear;Oenanthe oenanthe;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/a/a5/Oenanthe_oenanthe_01_II.jpg
Biegus krzywodzioby;Curlew sandpiper;Calidris ferruginea;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/f/f5/Calidris_ferruginea_%28Marek_Szczepanek%29.jpg
Biegus malutki;Little stint;Calidris minuta;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/9/9e/Little-Stint.jpg
Biegus mały;Temminck's stint;Calidris temminckii;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/7/75/Temminck%27s_Stint_%28Non-_breeding_plumage%29_I_IMG_1477.jpg
Biegus płaskodzioby;Broad-billed sandpiper;Calidris falcinellus;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/4/40/Limicola_falcinellus.jpg
Biegus rdzawy;Red knot;Calidris canutus;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/0/03/Calidris-canutus.jpg
Biegus zmienny;Dunlin;Calidris alpina;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/0/07/Calidris_alpina_01.jpg
Bielaczek;Smew;Mergellus albellus;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/c/ca/Smew.both.arp.600pix.jpg
Bielik;White-tailed eagle;Haliaeetus albicilla;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/c/c6/Haliaeetus_albicilla_LC0194.jpg
Błotniak łąkowy;Montagu's harrier;Circus pygargus;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/3/3d/Male_monty01.jpg
Błotniak stawowy;Eurasian marsh harrier;Circus aeruginosus;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/c/cf/Circus_aeruginosus_samiec4.jpg
Błotniak stepowy;Pallid harrier;Circus macrourus;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/9/9a/Circus_macrourus.jpg
Błotniak zbożowy;Hen harrier;Circus cyaneus;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/b/b6/Weibliche_Kornweihe_%28circus_cyaneus%29_-_Spiekeroog%2C_Nationalpark_Nieders%C3%A4chsisches_Wattenmeer.jpg
Bocian biały;White stork;Ciconia ciconia;Ciconiiformes;Ciconiidae;https://upload.wikimedia.org/wikipedia/commons/c/c3/Ciconia_ciconia_01.JPG
Bocian czarny;Black stork;Ciconia nigra;Ciconiiformes;Ciconiidae;https://upload.wikimedia.org/wikipedia/commons/1/10/Blackstorksmall.JPG
Bogatka;Great tit;Parus major;Passeriformes;Paridae;https://upload.wikimedia.org/wikipedia/commons/2/2d/Parus_major_m.jpg
Brodziec piskliwy;Common sandpiper;Actitis hypoleucos;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/e/e5/Actitis_hypoleucos_1_tb_%28Marek_Szczepanek%29.jpg
Brodziec pławny;Marsh sandpiper;Tringa stagnatilis;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/7/73/Tringa_stagnatilis.jpg
Brodziec śniady;Spotted redshank;Tringa erythropus;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/e/e0/Dunkler_Wasserlaeufer1.JPG
Brzegówka;Bank swallow;Riparia riparia;Passeriformes;Hirundinidae;https://upload.wikimedia.org/wikipedia/commons/2/28/Sand-Martin2.jpg
Brzęczka;Savi's warbler;Locustella luscinioides;Passeriformes;Locustellidae;https://upload.wikimedia.org/wikipedia/commons/8/84/Locustellaluscinioides.jpg
Cierniówka;Greater whitethroat;Curruca communis;Passeriformes;Sylviidae;https://upload.wikimedia.org/wikipedia/commons/b/bf/Tallareta_vulgar_01_%28Sylvia_communis%29.jpg
Cietrzew;Black grouse;Lyrurus tetrix;Galliformes;Phasianidae;https://upload.wikimedia.org/wikipedia/commons/b/bf/Black_Grouse_Nationalpark_Bayerischer_Wald.jpg
Cyraneczka;Green-winged teal;Anas crecca;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/c/c8/Common_Teal_%28Anas_crecca%29_near_Hodal%2C_Haryana_W_IMG_6577.jpg
Cyranka;Garganey;Spatula querquedula;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/9/92/Garganey_duck.jpg
Czajka;Northern lapwing;Vanellus vanellus;Charadriiformes;Charadriidae;https://upload.wikimedia.org/wikipedia/commons/d/d2/Kiebitz_050424ausschnitt.jpg
Czapla biała;Great egret;Ardea alba;Pelecaniformes;Ardeidae;https://upload.wikimedia.org/wikipedia/commons/4/4f/Egretta_alba_2_%28Lukasz_Lukasik%29.jpg
Czapla nadobna;Little egret;Egretta garzetta;Pelecaniformes;Ardeidae;https://upload.wikimedia.org/wikipedia/commons/3/3a/Little_Egret_Reflection.jpg
Czapla purpurowa;Purple heron;Ardea purpurea;Pelecaniformes;Ardeidae;https://upload.wikimedia.org/wikipedia/commons/b/b2/Purple_Heron_%28Ardea_purpurea%29_in_Kolkata_W_IMG_3352.jpg
Czapla siwa;Gray heron;Ardea cinerea;Pelecaniformes;Ardeidae;https://upload.wikimedia.org/wikipedia/commons/8/83/Bird01.jpg
Czarnogłówka;Willow Tit;Poecile montanus;Passeriformes;Paridae;https://upload.wikimedia.org/wikipedia/commons/a/ac/Poecile_Montanus_Kittila_20120307.JPG
Czarnowron;Carrion crow;Corvus corone;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/6/65/Wikikraai.jpg
Czeczotka;Common redpoll;Acanthis flammea;Passeriformes;Fringillidae;https://upload.wikimedia.org/wikipedia/commons/c/cb/Acanthis_flammea%2C_Kotka%2C_Finland_3.jpg
Czeczotka brązowa;Lesser redpoll;Acanthis cabaret;Passeriformes;Fringillidae;https://upload.wikimedia.org/wikipedia/commons/0/05/Carduelis_cabaret1.jpg
Czernica;Tufted duck;Aythya fuligula;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/e/eb/Tufted-Duck-male-female.jpg
Czubatka;Crested Tit;Lophophanes cristatus;Passeriformes;Paridae;https://upload.wikimedia.org/wikipedia/commons/b/b2/Lophophanes_cristatus_Luc_Viatour_2.jpg
Czyż;Eurasian siskin;Spinus spinus;Passeriformes;Fringillidae;https://upload.wikimedia.org/wikipedia/commons/0/01/Carduelis_spinus_2_%28Martin_Mecnarowski%29.jpg
Derkacz;Corn crake;Crex crex;Gruiformes;Rallidae;https://upload.wikimedia.org/wikipedia/commons/5/5c/Crex_crex00.jpg
Drozd obrożny;Ring ouzel;Turdus torquatus;Passeriformes;Turdidae;https://upload.wikimedia.org/wikipedia/commons/d/d1/Turdus_torquatus2.jpg
Droździk;Redwing;Turdus iliacus;Passeriformes;Turdidae;https://upload.wikimedia.org/wikipedia/commons/c/c1/Redwing_Turdus_iliacus.jpg
Drzemlik;Merlin;Falco columbarius;Falconiformes;Falconidae;https://upload.wikimedia.org/wikipedia/commons/a/a4/Merlin_Falcon_3519308347.jpg
Dubelt;Great snipe;Gallinago media;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/9/97/Gallinago_media.jpg
Dudek;Eurasian hoopoe;Upupa epops;Bucerotiformes;Upupidae;https://upload.wikimedia.org/wikipedia/commons/d/d3/ABUBILLA_%28Upupa_epops%29.jpg
Dymówka;Barn swallow;Hirundo rustica;Passeriformes;Hirundinidae;https://upload.wikimedia.org/wikipedia/commons/2/24/Landsvale.jpg
Dzierlatka;Crested lark;Galerida cristata;Passeriformes;Alaudidae;https://upload.wikimedia.org/wikipedia/commons/8/80/Cotovia-de-poupa.jpg
Dzięcioł białogrzbiety;White-backed woodpecker;Dendrocopos leucotos;Piciformes;Picidae;https://upload.wikimedia.org/wikipedia/commons/e/eb/Dendrocopos_leucotos.jpg
