polish_name;english_name;latin_name;order;family;image
Bażant;Ring-necked pheasant;Phasianus colchicus;Galliformes;Phasianidae;https://upload.wikimedia.org/wikipedia/commons/d/d7/Phasianus_colchicus_2_tom_%28Lukasz_Lukasik%29.jpg
Bocian biały;White stork;Ciconia ciconia;Ciconiiformes;Ciconiidae;https://upload.wikimedia.org/wikipedia/commons/c/c3/Ciconia_ciconia_01.JPG
Czubatka;Crested Tit;Lophophanes cristatus;Passeriformes;Paridae;https://upload.wikimedia.org/wikipedia/commons/b/b2/Lophophanes_cristatus_Luc_Viatour_2.jpg
Drozd obrożny;Ring ouzel;Turdus torquatus;Passeriformes;Turdidae;https://upload.wikimedia.org/wikipedia/commons/d/d1/Turdus_torquatus2.jpg
Dymówka;Barn swallow;Hirundo rustica;Passeriformes;Hirundinidae;https://upload.wikimedia.org/wikipedia/commons/2/24/Landsvale.jpg
Dzięcioł duży;Great spotted woodpecker;Dendrocopos major;Piciformes;Picidae;https://upload.wikimedia.org/wikipedia/commons/b/b7/Dendrocopos_major_4_%28Marek_Szczepanek%29.jpg
Dzięcioł zielony;Eurasian green woodpecker;Picus viridis;Piciformes;Picidae;https://upload.wikimedia.org/wikipedia/commons/d/df/03_vgrue-10-11.jpg
Gawron;Rook;Corvus frugilegus;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/6/6f/Corvus_frugilegus_2.jpg
Głuszec;Western capercaillie;Tetrao urogallus;Galliformes;Phasianidae;https://upload.wikimedia.org/wikipedia/commons/f/ff/Capercaillie%281%29.jpg
Gołąb miejski;Feral pigeon;Columba livia forma urbana;Columbiformes;Columbidae;https://upload.wikimedia.org/wikipedia/commons/3/37/Wohlgen%C3%A4hrte_Stadttauben.jpg
Jerzyk;Common swift;Apus apus;Apodiformes;Apodidae;https://upload.wikimedia.org/wikipedia/commons/d/dc/ApusApusKlausRoggel01.jpg
Kopciuszek;Black redstart;Phoenicurus ochruros;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/6/61/Phoenicurus_ochruros_female.jpg
Kormoran;Great cormorant;Phalacrocorax carbo;Suliformes;Phalacrocoracidae;https://upload.wikimedia.org/wikipedia/commons/6/68/Phalacrocorax_carbo_Vic.jpg
Kos;Eurasian blackbird;Turdus merula;Passeriformes;Turdidae;https://upload.wikimedia.org/wikipedia/commons/2/25/Kos_Turdus_merulaRB.jpg
Kruk;Common raven;Corvus corax;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/2/29/Common_raven_by_David_Hofmann.jpg
Krzyżówka;Mallard;Anas platyrhynchos;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg
Kukułka;Common cuckoo;Cuculus canorus;Cuculiformes;Cuculidae;https://upload.wikimedia.org/wikipedia/commons/8/82/Kuckuck_im_Flug_v._J._Schmidt.jpg
Łabędź niemy;Mute swan;Cygnus olor;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/d/de/Cygnus_olor_Adult_Lyngby_Denmark.jpg
Myszołów;Common buzzard;Buteo buteo;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/2/24/Myszo%C5%82%C3%B3w_Zwyczajny.jpg
Paszkot;Mistle thrush;Turdus viscivorus;Passeriformes;Turdidae;https://upload.wikimedia.org/wikipedia/commons/2/24/Turdus_viscivorus_1.jpg
Rybitwa białoczelna;Little tern;Sternula albifrons;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/b/ba/Koajisashi_05a2432s.jpg
Skowronek;Eurasian skylark;Alauda arvensis;Passeriformes;Alaudidae;https://upload.wikimedia.org/wikipedia/commons/d/d8/Alauda_arvensis_2.jpg
Sójka;Eurasian jay;Garrulus glandarius;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/6/6d/Garrulus_glandarius_1_Luc_Viatour.jpg
Sroka;Eurasian magpie;Pica pica;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/6/6d/Korean_magpie_in_Daejeon_facing_away.jpg
Szczygieł;European goldfinch;Carduelis carduelis;Passeriformes;Fringillidae;https://upload.wikimedia.org/wikipedia/commons/7/73/Carduelis_carduelis_%28Lukasz_Lukasik%29.jpg
Szpak;European starling;Sturnus vulgaris;Passeriformes;Sturnidae;https://upload.wikimedia.org/wikipedia/commons/0/0f/Colourful_starling.jpeg
Uszatka;Long-eared owl;Asio otus;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/9/97/Waldohreule_in_freier_Wildbahn.jpg
Wrona siwa;Hooded crow;Corvus cornix;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/8/8d/Hooded_Crow_%28Corvus_cornix%29_%2811%29.jpg
Wróbel;House sparrow;Passer domesticus;Passeriformes;Passeridae;https://upload.wikimedia.org/wikipedia/commons/9/9b/Passer_domesticus3.jpg
Żuraw;Common crane;Grus grus;Gruiformes;Gruidae;https://upload.wikimedia.org/wikipedia/commons/2/23/Grus_grus_2_%28Marek_Szczepanek%29.jpg
